geoid,name,year,total_est,total_se,aian_se,aian_est,api_se,api_est,asian_se,asian_est,black_se,black_est,hisp_se,hisp_est,nhisp_se,nhisp_est,nhopi_se,nhopi_est,nhwhite_se,nhwhite_est,nnhwhite_se,nnhwhite_est,other_se,other_est,othermore_se,othermore_est,twomore_se,twomore_est,white_se,white_est
01000US,United States,2005-2009,21244121,29708.17081051609,1957.44677734375,153168,4438.050742400956,1489672,4334.3466796875,1454484,9705.1669921875,3004333,11531.9150390625,2520814,31867.85962964812,18723307,953.7993774414063,35188,20947.11328125,13719522,36350.47410590845,7524599,6310.0302734375,939995,7971.470131686185,1456799,4871.12451171875,516804,24609.7265625,15140149
01000US,United States,2006-2010,21790019,33812.15748278029,1955.01513671875,160231,4444.888429754833,1691768,4351.36767578125,1652706,11525.8359375,3140373,14739.8173828125,2790032,36885.28446574591,18999987,906.9909057617188,39062,21883.283203125,13611196,40275.80014585071,8178823,5928.87548828125,948116,8305.128540708065,1542080,5815.8056640625,593964,28942.25,15255567
01000US,United States,2007-2011,22475593,31607.50198786188,1956.8388671875,164432,5038.240043867594,1746190,4930.09130859375,1705238,10627.9638671875,3311145,14678.419921875,2999140,34849.53648638085,19476453,1038.2978515625,40952,20801.82421875,13824416,37838.47344622226,8651177,5443.1611328125,916493,8084.017290951163,1573773,5976.89990234375,657280,28607.294921875,15680053
01000US,United States,2008-2012,23083653,34564.86613652638,1684.112442139649,169263,5658.41783757556,1794614,5589.455084755522,1751475,8276.377776561156,3473790,14427.80143209083,3212040,37455.19223285111,19871613,880.7294023103326,43139,18878.72074459522,13973971,39384.46480515379,9109682,5010.59947795718,897468,7501.342672914146,1617657,5582.475684495004,720189,24961.92775662654,16028329
01000US,United States,2009-2013,23454805,33809.17335155042,1637.78635630718,169871,5634.901078507201,1818588,5541.283052805658,1774552,9722.693151607962,3570414,13590.77634744245,3401602,36438.57028536367,20053203,1022.884301008887,44036,19716.08938252519,13996584,39138.01710939006,9458221,4418.540663198573,927372,7483.236914702486,1703729,6039.481197025675,776357,25044.17468652393,16192203
01000US,United States,2010-2014,23628485,30240.37376506842,1727.119224129172,168191,5791.873547310775,1865466,5721.595767802635,1822487,10614.60049730225,3614519,13687.92508495319,3576363,33193.9678041407,20052122,899.52268337228,42979,15908.44024621641,13875471,34169.55774543295,9753014,5072.811842771851,961336,7702.847110410804,1779409,5796.588101133091,818073,21456.78549361416,16200900
01000US,United States,2011-2015,23476928,30929.87811003119,1772.360177161218,164650,5708.090218077729,1906006,5628.03486956846,1863226,8909.37267325396,3586577,13460.74401531315,3697836,33732.01727361076,19779092,952.6371001783363,42780,16838.75081457208,13574694,35216.48603845418,9902234,4388.803616551149,986760,7055.914005010695,1829865,5524.882375350052,843105,22239.34975736008,15989830
01000US,United States,2012-2016,23189247,31261.50574872311,1738.932758197038,159789,6213.054689809905,1922755,6139.283023238924,1879983,8839.600233463363,3520030,14088.59694964401,3785950,34289.50722432399,19403297,954.5954845583489,42772,16901.42528500048,13235539,35537.86597900754,9953708,5091.634647717992,1024273,7260.053773544878,1888423,5175.291045817704,864150,22547.35947199923,15698250
01000US,United States,2013-2017,22848124,31996.4727103048,1749.351113817103,156611,5556.380284445583,1958042,5486.746190530939,1914721,10110.01714812338,3430123,13356.46296097701,3872021,34672.31415307075,18976103,876.9139673136717,43321,17051.3147345367,12857712,36256.33186186253,9990412,5040.772954420072,1055117,8172.516479999195,1927655,6432.77806533426,872538,22460.23025576574,15375693
